product_id,title,total_quantity
1,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",20
3,Mens Cotton Jacket,6
2,Mens Casual Premium Slim Fit T-Shirts ,5
12,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive,3
10,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,2
5,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,2
8,Pierced Owl Rose Gold Plated Stainless Steel Double,1
7,White Gold Plated Princess,1
9,WD 2TB Elements Portable External Hard Drive - USB 3.0 ,1
18,MBJ Women's Solid Short Sleeve Boat Neck V ,1
